employeeid,lastname,firstname,middlename,contact,address,email,hiredate,sss_number,pagibig_number,philhealth_number,bir_number,leavecredit,department,position,shiftstart,shiftend,type,employeeimage
"45","Williams","Paul","M","09178695651","45 Employee St","employee45@example.com","Mon Jan 17 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS344","PAG344","PH344","BIR344","1.00","Production","Delivery","11:30:00","19:30:00","Contractual",""
"46","Williams","Mary","M","09171547180","46 Employee St","employee46@example.com","Tue Jan 18 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS345","PAG345","PH345","BIR345","13.00","Office","Manual","11:30:00","19:30:00","Resigned",""
"47","Williams","Chris","M","09172359294","47 Employee St","employee47@example.com","Wed Jan 19 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS346","PAG346","PH346","BIR346","9.00","Production","Supervisor","11:00:00","19:00:00","Resigned",""
"48","Williams","Laura","M","09173571040","48 Employee St","employee48@example.com","Thu Jan 20 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS347","PAG347","PH347","BIR347","10.00","Production","Printing","09:30:00","16:30:00","Contractual",""
"49","Williams","David","M","09174976934","49 Employee St","employee49@example.com","Fri Jan 21 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS348","PAG348","PH348","BIR348","2.00","Office","Delivery","08:30:00","14:30:00","Resigned",""
"50","Williams","Emma","M","09176668464","50 Employee St","employee50@example.com","Sat Jan 22 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS349","PAG349","PH349","BIR349","0.00","Office","Extrusion","10:00:00","19:00:00","Resigned",""
"51","Jones","John","M","09176851352","51 Employee St","employee51@example.com","Sun Jan 23 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS350","PAG350","PH350","BIR350","11.00","Office","Supervisor","14:30:00","19:30:00","Contractual",""
"52","Jones","Jane","M","09171708297","52 Employee St","employee52@example.com","Mon Jan 24 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS351","PAG351","PH351","BIR351","18.00","Office","Cutting","11:30:00","19:30:00","Regular",""
"53","Jones","Mike","M","09179851106","53 Employee St","employee53@example.com","Tue Jan 25 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS352","PAG352","PH352","BIR352","9.00","Office","Office","15:30:00","19:30:00","Contractual",""
"54","Jones","Anna","M","09178663122","54 Employee St","employee54@example.com","Wed Jan 26 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS353","PAG353","PH353","BIR353","16.00","Production","Manual","15:00:00","19:00:00","Resigned",""
"55","Jones","Paul","M","09175539361","55 Employee St","employee55@example.com","Thu Jan 27 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS354","PAG354","PH354","BIR354","7.00","Production","Cutting","09:30:00","16:30:00","Contractual",""
"56","Jones","Mary","M","09179707373","56 Employee St","employee56@example.com","Fri Jan 28 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS355","PAG355","PH355","BIR355","10.00","Production","Supervisor","14:30:00","19:30:00","Regular",""
"57","Jones","Chris","M","09173491589","57 Employee St","employee57@example.com","Sat Jan 01 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS356","PAG356","PH356","BIR356","18.00","Production","Office","14:30:00","19:30:00","Resigned",""
"58","Jones","Laura","M","09173439729","58 Employee St","employee58@example.com","Sun Jan 02 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS357","PAG357","PH357","BIR357","15.00","Office","Office","14:00:00","19:00:00","Resigned",""
"59","Jones","David","M","09176420340","59 Employee St","employee59@example.com","Mon Jan 03 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS358","PAG358","PH358","BIR358","16.00","Production","Printing","16:00:00","19:00:00","Regular",""
"60","Jones","Emma","M","09178261340","60 Employee St","employee60@example.com","Tue Jan 04 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS359","PAG359","PH359","BIR359","16.00","Production","Office","14:30:00","19:30:00","Resigned",""
"61","Taylor","John","M","09178257425","61 Employee St","employee61@example.com","Wed Jan 05 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS360","PAG360","PH360","BIR360","19.00","Production","Utility","15:30:00","19:30:00","Regular",""
"62","Taylor","Jane","M","09173796076","62 Employee St","employee62@example.com","Thu Jan 06 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS361","PAG361","PH361","BIR361","15.00","Office","Maintenance","16:30:00","19:30:00","Contractual",""
"63","Taylor","Mike","M","09179866750","63 Employee St","employee63@example.com","Fri Jan 07 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS362","PAG362","PH362","BIR362","18.00","Office","Extrusion","09:30:00","16:30:00","Contractual",""
"64","Taylor","Anna","M","09173345417","64 Employee St","employee64@example.com","Sat Jan 08 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS363","PAG363","PH363","BIR363","11.00","Production","Maintenance","07:00:00","15:00:00","Contractual",""
"65","Taylor","Paul","M","09172644579","65 Employee St","employee65@example.com","Sun Jan 09 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS364","PAG364","PH364","BIR364","9.00","Office","Printing","13:30:00","19:30:00","Contractual",""
"66","Taylor","Mary","M","09173357820","66 Employee St","employee66@example.com","Mon Jan 10 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS365","PAG365","PH365","BIR365","17.00","Production","Slitting","16:30:00","19:30:00","Resigned",""
"67","Taylor","Chris","M","09176731105","67 Employee St","employee67@example.com","Tue Jan 11 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS366","PAG366","PH366","BIR366","13.00","Office","Cutting","11:30:00","19:30:00","Contractual",""
"68","Taylor","Laura","M","09175980690","68 Employee St","employee68@example.com","Wed Jan 12 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS367","PAG367","PH367","BIR367","15.00","Production","Delivery","09:30:00","16:30:00","Resigned",""
"69","Taylor","David","M","09172331354","69 Employee St","employee69@example.com","Thu Jan 13 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS368","PAG368","PH368","BIR368","13.00","Office","Slitting","08:00:00","14:00:00","Regular",""
"70","Taylor","Emma","M","09177135192","70 Employee St","employee70@example.com","Fri Jan 14 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS369","PAG369","PH369","BIR369","18.00","Production","Extrusion","14:30:00","19:30:00","Regular",""
"71","Davis","John","M","09171371907","71 Employee St","employee71@example.com","Sat Jan 15 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS370","PAG370","PH370","BIR370","18.00","Office","Supervisor","15:00:00","19:00:00","Contractual",""
"72","Davis","Jane","M","09179373083","72 Employee St","employee72@example.com","Sun Jan 16 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS371","PAG371","PH371","BIR371","15.00","Production","Quality Assurance","07:00:00","15:00:00","Contractual",""
"73","Davis","Mike","M","09173957984","73 Employee St","employee73@example.com","Mon Jan 17 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS372","PAG372","PH372","BIR372","5.00","Production","Office","15:30:00","19:30:00","Regular",""
"74","Davis","Anna","M","09177463224","74 Employee St","employee74@example.com","Tue Jan 18 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS373","PAG373","PH373","BIR373","2.00","Office","Cutting","09:00:00","18:00:00","Resigned",""
"75","Davis","Paul","M","09177314400","75 Employee St","employee75@example.com","Wed Jan 19 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS374","PAG374","PH374","BIR374","11.00","Office","Slitting","11:00:00","19:00:00","Resigned",""
"76","Davis","Mary","M","09179973979","76 Employee St","employee76@example.com","Thu Jan 20 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS375","PAG375","PH375","BIR375","0.00","Office","Supervisor","09:30:00","16:30:00","Resigned",""
"77","Davis","Chris","M","09175104193","77 Employee St","employee77@example.com","Fri Jan 21 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS376","PAG376","PH376","BIR376","16.00","Production","Delivery","15:30:00","19:30:00","Regular",""
"78","Davis","Laura","M","09179904886","78 Employee St","employee78@example.com","Sat Jan 22 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS377","PAG377","PH377","BIR377","19.00","Production","Cutting","16:30:00","19:30:00","Contractual",""
"79","Davis","David","M","09173706035","79 Employee St","employee79@example.com","Sun Jan 23 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS378","PAG378","PH378","BIR378","11.00","Production","Extrusion","10:30:00","17:30:00","Contractual",""
"80","Davis","Emma","M","09176860041","80 Employee St","employee80@example.com","Mon Jan 24 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS379","PAG379","PH379","BIR379","5.00","Office","Supervisor","13:00:00","19:00:00","Regular",""
"81","Miller","John","M","09172041071","81 Employee St","employee81@example.com","Tue Jan 25 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS380","PAG380","PH380","BIR380","1.00","Office","Quality Assurance","13:00:00","19:00:00","Resigned",""
"82","Miller","Jane","M","09179360370","82 Employee St","employee82@example.com","Wed Jan 26 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS381","PAG381","PH381","BIR381","15.00","Office","Slitting","08:00:00","14:00:00","Contractual",""
"83","Miller","Mike","M","09172670635","83 Employee St","employee83@example.com","Thu Jan 27 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS382","PAG382","PH382","BIR382","13.00","Office","Cutting","10:00:00","19:00:00","Regular",""
"84","Miller","Anna","M","09171992593","84 Employee St","employee84@example.com","Fri Jan 28 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS383","PAG383","PH383","BIR383","15.00","Office","Extrusion","15:00:00","19:00:00","Contractual",""
"85","Miller","Paul","M","09174323804","85 Employee St","employee85@example.com","Sat Jan 01 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS384","PAG384","PH384","BIR384","7.00","Office","Office","16:00:00","19:00:00","Resigned",""
"86","Miller","Mary","M","09179598886","86 Employee St","employee86@example.com","Sun Jan 02 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS385","PAG385","PH385","BIR385","10.00","Office","Slitting","16:00:00","19:00:00","Regular",""
"87","Miller","Chris","M","09172835891","87 Employee St","employee87@example.com","Mon Jan 03 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS386","PAG386","PH386","BIR386","18.00","Production","Supervisor","14:00:00","19:00:00","Resigned",""
"88","Miller","Laura","M","09178022252","88 Employee St","employee88@example.com","Tue Jan 04 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS387","PAG387","PH387","BIR387","8.00","Production","Delivery","13:00:00","19:00:00","Regular",""
"89","Miller","David","M","09173619382","89 Employee St","employee89@example.com","Wed Jan 05 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS388","PAG388","PH388","BIR388","10.00","Office","Utility","16:00:00","19:00:00","Resigned",""
"90","Miller","Emma","M","09173849335","90 Employee St","employee90@example.com","Thu Jan 06 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS389","PAG389","PH389","BIR389","1.00","Production","Cutting","09:00:00","18:00:00","Regular",""
"91","Wilson","John","M","09171913268","91 Employee St","employee91@example.com","Fri Jan 07 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS390","PAG390","PH390","BIR390","14.00","Office","Office","13:00:00","19:00:00","Regular",""
"92","Wilson","Jane","M","09176894453","92 Employee St","employee92@example.com","Sat Jan 08 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS391","PAG391","PH391","BIR391","10.00","Office","Warehouse","07:30:00","13:30:00","Resigned",""
"93","Wilson","Mike","M","09171185641","93 Employee St","employee93@example.com","Sun Jan 09 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS392","PAG392","PH392","BIR392","17.00","Production","Manual","14:30:00","19:30:00","Regular",""
"94","Wilson","Anna","M","09179983894","94 Employee St","employee94@example.com","Mon Jan 10 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS393","PAG393","PH393","BIR393","4.00","Production","Delivery","16:00:00","19:00:00","Contractual",""
"95","Wilson","Paul","M","09174058106","95 Employee St","employee95@example.com","Tue Jan 11 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS394","PAG394","PH394","BIR394","15.00","Production","Quality Assurance","07:30:00","13:30:00","Regular",""
"96","Wilson","Mary","M","09172856036","96 Employee St","employee96@example.com","Wed Jan 12 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS395","PAG395","PH395","BIR395","9.00","Production","Utility","12:30:00","19:30:00","Regular",""
"97","Wilson","Chris","M","09172711440","97 Employee St","employee97@example.com","Thu Jan 13 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS396","PAG396","PH396","BIR396","10.00","Office","Quality Assurance","08:00:00","14:00:00","Contractual",""
"98","Wilson","Laura","M","09174169785","98 Employee St","employee98@example.com","Fri Jan 14 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS397","PAG397","PH397","BIR397","12.00","Production","Maintenance","10:30:00","17:30:00","Contractual",""
"99","Wilson","David","M","09179253350","99 Employee St","employee99@example.com","Sat Jan 15 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS398","PAG398","PH398","BIR398","6.00","Office","Extrusion","10:30:00","17:30:00","Regular",""
"100","Wilson","Emma","M","09175684748","100 Employee St","employee100@example.com","Sun Jan 16 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS399","PAG399","PH399","BIR399","17.00","Office","Manual","11:30:00","19:30:00","Contractual",""
